time,rpm,temperature,vibration,load,pressure
419,1675.0,81.2,4.39,50.2,4.01
420,1732.7,99.35,5.24,87.6,4.84
421,1721.5,95.32,4.375,71.2,4.85
422,1659.2,94.4,4.556,80.8,5.52
423,1693.5,92.08,4.378,74.5,5.51
424,1681.4,96.15,4.467,90.1,5.24
425,1700.8,88.19,4.453,68.7,4.9399999999999995
426,1628.3,97.57,4.329,76.8,4.3100000000000005
427,1675.3,94.32,4.597,84.6,5.09
428,1683.9,99.17,4.771,94.5,5.92
429,1596.8,93.95,4.226,81.9,5.42
430,1611.4,94.28,4.245,78.3,5.33
431,1583.0,100.83,4.593,98.2,5.470000000000001
432,1633.3,93.79,4.312,71.9,4.98
433,1660.0,89.62,4.575,66.3,4.5600000000000005
434,1680.6,97.2,4.756,87.8,5.69
435,1634.8,95.27,4.836,80.6,5.359999999999999
436,1678.4,93.72,4.679,76.8,5.359999999999999
437,1585.1,100.3,4.449,91.0,5.04
438,1572.3,96.87,4.557,87.7,4.15
439,1618.5,96.22,4.349,81.6,5.7
440,1628.5,94.62,4.329,76.2,4.8100000000000005
441,1612.7,85.68,4.83,63.8,3.46
442,1548.4,82.3,4.398,62.4,4.14
443,1604.4,78.5,4.757,56.8,3.54
444,1564.5,86.07,4.874,72.7,4.55
445,1620.3,77.91,4.822,49.7,3.92
446,1607.7,76.99,4.925,46.4,3.88
447,1565.0,80.68,4.334,53.5,2.95
448,1574.2,83.78,4.353,59.0,4.36
449,1554.3,81.85,4.487,61.6,3.92
450,1580.5,81.76,4.382,58.1,3.56
451,1607.4,86.48,4.623,63.2,3.94
452,1545.5,78.89,4.465,50.7,2.67
453,1586.5,90.8,4.749,72.7,4.24
454,1551.7,82.65,4.352,60.8,3.25
455,1540.0,80.8,4.342,70.7,3.28
456,1556.8,84.32,4.431,64.9,3.09
457,1525.1,83.48,4.258,66.1,4.4
458,1535.7,85.83,4.908,67.4,3.57
459,1512.5,84.06,4.32,66.7,4.61
460,1603.5,84.37,4.444,68.6,3.71
461,1541.7,83.02,4.336,74.5,3.18
462,1515.8,82.04,4.5,65.7,3.27
463,1539.2,82.44,4.584,70.2,4.56
464,1525.5,80.95,4.317,64.1,3.73
465,1518.3,86.95,4.326,76.7,3.78
466,1539.3,84.45,4.337,60.1,3.82
467,1539.7,87.94,4.493,80.2,4.39
468,1497.0,79.8,4.491,65.8,4.37
469,1491.7,79.76,4.312,55.0,4.32
470,1496.7,85.17,4.307,67.8,3.67
471,1431.9,78.74,4.054,61.6,3.0
472,1451.5,83.73,5.472,74.1,3.73
473,1534.0,81.77,4.374,62.4,3.91
474,1538.3,80.82,4.57,64.4,3.34
475,1477.5,79.4,4.032,53.1,3.06
476,1498.3,81.71,4.345,64.9,3.97
477,1486.3,77.97,3.976,49.5,3.45
478,1565.4,78.65,4.407,56.5,3.71
479,1502.7,84.32,5.258,75.5,3.63
480,1461.3,86.16,4.328,76.0,3.87
481,1432.5,82.76,4.111,73.4,3.44
482,1409.1,83.35,3.953,62.5,4.1
483,1459.5,82.14,4.268,70.2,4.38
484,1426.8,83.09,4.114,70.8,2.92
485,1403.0,81.45,3.931,61.8,3.17
486,1422.4,83.51,4.602,83.4,3.34
487,1405.5,81.15,4.281,78.6,3.65
488,1484.8,80.25,4.273,70.1,3.85
489,1456.9,86.08,4.828,72.3,3.18
490,1426.5,82.51,4.13,74.0,3.45
491,1467.4,84.01,4.934,56.3,3.09
492,1421.6,81.46,4.165,70.9,3.94
493,1389.8,81.51,4.614,67.7,3.78
494,1457.8,84.55,4.346,65.3,3.4
495,1424.7,86.78,4.588,71.3,3.94
496,1373.8,91.19,5.37,88.2,3.86
497,1395.7,87.1,4.185,79.2,3.84
498,1371.7,83.53,4.915,69.7,4.6
499,1353.1,85.2,4.145,79.1,4.6
